ليبيريا,lr,231
ليبيا,ly,218
ليختنشتاين,li,423
ليتوانيا,lt,370
لوكسمبورغ,lu,352
ماكاو,mo,853
مقدونيا,mk,389
مدغشقر,mg,261
مالاوي,mw,265
ماليزيا,my,60
جزر المالديف,mv,960
مالي,ml,223
مالطا,mt,356
جزر مارشال,mh,692
مارتينيك,mq,596
موريتانيا,mr,222
موريشيوس,mu,230
المكسيك,mx,52
ميكرونيزيا,fm,691
مولدوفا,md,373
موناكو,mc,377
منغوليا,mn,976
الجبل الأسود,me,382
مونتسيرات,ms,1664
المغرب,ma,212
موزمبيق,mz,258
ميانمار,mm,95
ناميبيا,na,264
ناورو,nr,674
نيبال,np,977
هولندا,nl,31
كاليدونيا الجديدة,nc,687
نيوزيلاندا,nz,64
نيكاراغوا,ni,505
النيجر,ne,227
نيجيريا,ng,234
نيوي,nu,683
جزيرة نورفولك,nf,672
كوريا الشمالية,kp,850
جزر مريانا الشمالية,mp,1670
النرويج,no,47
سلطنة عمان,om,968
باكستان,pk,92
بالاو,pw,680
فلسطين,ps,970
بناما,pa,507
بابوا غينيا الجديدة,pg,675
باراغواي,py,595
بيرو,pe,51
الفلبين,ph,63
بولندا,pl,48
البرتغال,pt,351
بورتوريكو,pr,1,3
قطر,qa,974
ريونيون,re,262
رومانيا,ro,40
روسيا,ru,7,0
رواندا,rw,250
سانت بارتيليمي,bl,590,1
سانت هيلانة,sh,290
سانت كيتس ونيفيس,kn,1869
سانت لوسيا,lc,1758
سانت مارتن,mf,590,2
سانت بيير وميكلون,pm,508
سانت فنسنت وجزر غرينادين,vc,1784
ساموا,ws,685
سان مارينو,sm,378
ساو تومي وبرينسيبي,st,239
المملكة العربية السعودية,sa,966
السنغال,sn,221
صربيا,rs,381
سيشيل,sc,248
سيراليون,sl,232
سنغافورة,sg,65
سانت مارتن,sx,1721
سلوفاكيا,sk,421
سلوفينيا,si,386
جزر سليمان,sb,677
الصومال,so,252
جنوب أفريقيا,za,27
كوريا الجنوبية,kr,82
جنوب السودان,ss,211
إسبانيا,es,34
سيريلانكا,lk,94
السودان,sd,249
سورينام,sr,597
سوازيلاند,sz,268
السويد,se,46
سويسرا,ch,41
سوريا,sy,963
تايوان,tw,886
طاجيكستان,tj,992
تنزانيا,tz,255
تايلاند,th,66
تيمور الشرقية,tl,670
توغو,tg,228
توكيلاو,tk,690
تونغا,to,676
ترينداد وتوباغو,tt,1868
تونس,tn,216
تركيا,tr,90
تركمانستان,tm,993
جزر تركس وكايكوس,tc,1649
توفالو,tv,688
جزر فيرجن الأمريكية,vi,1340
أوغندا,ug,256
أوكرانيا,ua,380
الإمارات العربية المتحدة,ae,971
المملكة المتحدة,gb,44
الولايات المتحدة الامريكانية,us,1,0
أوروغواي,uy,598
أوزبكستان,uz,998
فانواتو,vu,678
مدينة الفاتيكان,va,39,1
فنزويلا,ve,58
فيتنام,vn,84
واليس وفوتونا,wf,681
اليمن,ye,967
زامبيا,zm,260
زيمبابوي,zw,263
